timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1620749914853,471,HTTP Request,200,OK,Users 1-1,text,true,,367,155,1,1,http://localhost:8080/?token=466636606&user=1964509942&conf=2,469,0,32
1620749915334,419,HTTP Request,200,OK,Users 1-1,text,true,,367,155,2,2,http://localhost:8080/?token=466636606&user=1964509942&conf=2,419,0,0
1620749915501,417,HTTP Request,200,OK,Users 1-2,text,true,,367,155,2,2,http://localhost:8080/?token=466636606&user=1964509942&conf=2,417,0,1
1620749915755,415,HTTP Request,200,OK,Users 1-1,text,true,,367,155,2,2,http://localhost:8080/?token=466636606&user=1964509942&conf=2,415,0,0
1620749915919,427,HTTP Request,200,OK,Users 1-2,text,true,,367,155,3,3,http://localhost:8080/?token=466636606&user=1964509942&conf=2,427,0,0
1620749916171,414,HTTP Request,200,OK,Users 1-1,text,true,,367,155,3,3,http://localhost:8080/?token=466636606&user=1964509942&conf=2,414,0,0
1620749916224,432,HTTP Request,200,OK,Users 1-3,text,true,,367,155,3,3,http://localhost:8080/?token=466636606&user=1964509942&conf=2,432,0,3
1620749916346,414,HTTP Request,200,OK,Users 1-2,text,true,,367,155,3,3,http://localhost:8080/?token=466636606&user=1964509942&conf=2,413,0,0
1620749916586,430,HTTP Request,200,OK,Users 1-1,text,true,,367,155,4,4,http://localhost:8080/?token=466636606&user=1964509942&conf=2,430,0,0
1620749916657,454,HTTP Request,200,OK,Users 1-3,text,true,,367,155,4,4,http://localhost:8080/?token=466636606&user=1964509942&conf=2,454,0,0
1620749916760,420,HTTP Request,200,OK,Users 1-2,text,true,,367,155,4,4,http://localhost:8080/?token=466636606&user=1964509942&conf=2,420,0,0
1620749917017,509,HTTP Request,200,OK,Users 1-1,text,true,,367,155,4,4,http://localhost:8080/?token=466636606&user=1964509942&conf=2,509,0,0
1620749916936,590,HTTP Request,200,OK,Users 1-4,text,true,,367,155,4,4,http://localhost:8080/?token=466636606&user=1964509942&conf=2,590,0,1
1620749917112,419,HTTP Request,200,OK,Users 1-3,text,true,,367,155,4,4,http://localhost:8080/?token=466636606&user=1964509942&conf=2,419,0,0
1620749917191,419,HTTP Request,200,OK,Users 1-2,text,true,,367,155,4,4,http://localhost:8080/?token=466636606&user=1964509942&conf=2,419,0,0
1620749917527,425,HTTP Request,200,OK,Users 1-4,text,true,,367,155,5,5,http://localhost:8080/?token=466636606&user=1964509942&conf=2,425,0,0
1620749917527,425,HTTP Request,200,OK,Users 1-1,text,true,,367,155,5,5,http://localhost:8080/?token=466636606&user=1964509942&conf=2,425,0,0
1620749917542,423,HTTP Request,200,OK,Users 1-3,text,true,,367,155,5,5,http://localhost:8080/?token=466636606&user=1964509942&conf=2,423,0,0
1620749917621,421,HTTP Request,200,OK,Users 1-2,text,true,,367,155,5,5,http://localhost:8080/?token=466636606&user=1964509942&conf=2,421,0,0
1620749917647,482,HTTP Request,200,OK,Users 1-5,text,true,,367,155,5,5,http://localhost:8080/?token=466636606&user=1964509942&conf=2,482,0,1
1620749918068,428,HTTP Request,200,OK,Users 1-4,text,true,,367,155,6,6,http://localhost:8080/?token=466636606&user=1964509942&conf=2,427,0,0
1620749918065,431,HTTP Request,200,OK,Users 1-1,text,true,,367,155,6,6,http://localhost:8080/?token=466636606&user=1964509942&conf=2,430,0,0
1620749918080,427,HTTP Request,200,OK,Users 1-3,text,true,,367,155,6,6,http://localhost:8080/?token=466636606&user=1964509942&conf=2,427,0,0
1620749918159,426,HTTP Request,200,OK,Users 1-2,text,true,,367,155,6,6,http://localhost:8080/?token=466636606&user=1964509942&conf=2,426,0,0
1620749918181,437,HTTP Request,200,OK,Users 1-5,text,true,,367,155,6,6,http://localhost:8080/?token=466636606&user=1964509942&conf=2,437,0,0
1620749918371,460,HTTP Request,200,OK,Users 1-6,text,true,,367,155,6,6,http://localhost:8080/?token=466636606&user=1964509942&conf=2,460,0,2
1620749918708,431,HTTP Request,200,OK,Users 1-1,text,true,,367,155,7,7,http://localhost:8080/?token=466636606&user=1964509942&conf=2,431,0,0
1620749918707,432,HTTP Request,200,OK,Users 1-4,text,true,,367,155,7,7,http://localhost:8080/?token=466636606&user=1964509942&conf=2,432,0,0
1620749918725,436,HTTP Request,200,OK,Users 1-3,text,true,,367,155,7,7,http://localhost:8080/?token=466636606&user=1964509942&conf=2,436,0,0
1620749918802,436,HTTP Request,200,OK,Users 1-2,text,true,,367,155,7,7,http://localhost:8080/?token=466636606&user=1964509942&conf=2,436,0,0
1620749918825,436,HTTP Request,200,OK,Users 1-5,text,true,,367,155,7,7,http://localhost:8080/?token=466636606&user=1964509942&conf=2,436,0,0
1620749919005,436,HTTP Request,200,OK,Users 1-6,text,true,,367,155,7,7,http://localhost:8080/?token=466636606&user=1964509942&conf=2,436,0,0
1620749919077,466,HTTP Request,200,OK,Users 1-7,text,true,,367,155,7,7,http://localhost:8080/?token=466636606&user=1964509942&conf=2,466,0,1
1620749919460,444,HTTP Request,200,OK,Users 1-1,text,true,,367,155,8,8,http://localhost:8080/?token=466636606&user=1964509942&conf=2,444,0,0
1620749919458,446,HTTP Request,200,OK,Users 1-4,text,true,,367,155,8,8,http://localhost:8080/?token=466636606&user=1964509942&conf=2,445,0,0
1620749919475,434,HTTP Request,200,OK,Users 1-3,text,true,,367,155,8,8,http://localhost:8080/?token=466636606&user=1964509942&conf=2,434,0,0
