timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1621618713924,658,HTTP Request,200,OK,Users 1-1,text,true,,367,155,1,1,http://localhost:8080/?token=466636606&user=1964509942&conf=3,657,0,24
1621618715402,376,HTTP Request,200,OK,Users 1-1,text,true,,367,155,1,1,http://localhost:8080/?token=466636606&user=1964509942&conf=3,376,0,0
1621618716902,396,HTTP Request,200,OK,Users 1-1,text,true,,367,155,1,1,http://localhost:8080/?token=466636606&user=1964509942&conf=3,396,0,0
1621618717879,574,HTTP Request,200,OK,Users 1-2,text,true,,367,155,2,2,http://localhost:8080/?token=466636606&user=1964509942&conf=3,573,0,1
1621618718398,411,HTTP Request,200,OK,Users 1-1,text,true,,367,155,2,2,http://localhost:8080/?token=466636606&user=1964509942&conf=3,411,0,0
1621618719384,484,HTTP Request,200,OK,Users 1-2,text,true,,367,155,2,2,http://localhost:8080/?token=466636606&user=1964509942&conf=3,484,0,0
1621618719902,407,HTTP Request,200,OK,Users 1-1,text,true,,367,155,2,2,http://localhost:8080/?token=466636606&user=1964509942&conf=3,407,0,0
1621618720882,421,HTTP Request,200,OK,Users 1-2,text,true,,367,155,2,2,http://localhost:8080/?token=466636606&user=1964509942&conf=3,421,0,0
1621618721400,393,HTTP Request,200,OK,Users 1-1,text,true,,367,155,2,2,http://localhost:8080/?token=466636606&user=1964509942&conf=3,393,0,0
1621618721869,481,HTTP Request,200,OK,Users 1-3,text,true,,367,155,3,3,http://localhost:8080/?token=466636606&user=1964509942&conf=3,481,0,1
1621618722380,533,HTTP Request,200,OK,Users 1-2,text,true,,367,155,3,3,http://localhost:8080/?token=466636606&user=1964509942&conf=3,533,0,0
1621618722900,450,HTTP Request,200,OK,Users 1-1,text,true,,367,155,3,3,http://localhost:8080/?token=466636606&user=1964509942&conf=3,450,0,0
1621618723374,421,HTTP Request,200,OK,Users 1-3,text,true,,367,155,3,3,http://localhost:8080/?token=466636606&user=1964509942&conf=3,421,0,0
1621618723878,954,HTTP Request,200,OK,Users 1-2,text,true,,367,155,3,3,http://localhost:8080/?token=466636606&user=1964509942&conf=3,954,0,0
1621618724400,432,HTTP Request,200,OK,Users 1-1,text,true,,367,155,3,3,http://localhost:8080/?token=466636606&user=1964509942&conf=3,432,0,0
1621618724873,422,HTTP Request,200,OK,Users 1-3,text,true,,367,155,3,3,http://localhost:8080/?token=466636606&user=1964509942&conf=3,422,0,0
1621618725381,427,HTTP Request,200,OK,Users 1-2,text,true,,367,155,3,3,http://localhost:8080/?token=466636606&user=1964509942&conf=3,427,0,0
1621618725902,418,HTTP Request,200,OK,Users 1-1,text,true,,367,155,4,4,http://localhost:8080/?token=466636606&user=1964509942&conf=3,418,0,0
1621618725871,454,HTTP Request,200,OK,Users 1-4,text,true,,367,155,4,4,http://localhost:8080/?token=466636606&user=1964509942&conf=3,454,0,1
1621618726374,457,HTTP Request,200,OK,Users 1-3,text,true,,367,155,4,4,http://localhost:8080/?token=466636606&user=1964509942&conf=3,457,0,0
1621618726881,632,HTTP Request,200,OK,Users 1-2,text,true,,367,155,4,4,http://localhost:8080/?token=466636606&user=1964509942&conf=3,632,0,0
1621618727374,503,HTTP Request,200,OK,Users 1-4,text,true,,367,155,4,4,http://localhost:8080/?token=466636606&user=1964509942&conf=3,503,0,0
1621618727402,514,HTTP Request,200,OK,Users 1-1,text,true,,367,155,4,4,http://localhost:8080/?token=466636606&user=1964509942&conf=3,514,0,0
1621618727874,398,HTTP Request,200,OK,Users 1-3,text,true,,367,155,4,4,http://localhost:8080/?token=466636606&user=1964509942&conf=3,398,0,0
1621618728383,494,HTTP Request,200,OK,Users 1-2,text,true,,367,155,4,4,http://localhost:8080/?token=466636606&user=1964509942&conf=3,494,0,0
1621618728876,425,HTTP Request,200,OK,Users 1-4,text,true,,367,155,4,4,http://localhost:8080/?token=466636606&user=1964509942&conf=3,425,0,0
1621618728902,428,HTTP Request,200,OK,Users 1-1,text,true,,367,155,4,4,http://localhost:8080/?token=466636606&user=1964509942&conf=3,428,0,0
1621618729371,430,HTTP Request,200,OK,Users 1-3,text,true,,367,155,4,4,http://localhost:8080/?token=466636606&user=1964509942&conf=3,430,0,0
1621618729882,394,HTTP Request,200,OK,Users 1-2,text,true,,367,155,5,5,http://localhost:8080/?token=466636606&user=1964509942&conf=3,394,0,0
1621618729872,483,HTTP Request,200,OK,Users 1-5,text,true,,367,155,5,5,http://localhost:8080/?token=466636606&user=1964509942&conf=3,483,0,0
1621618730374,390,HTTP Request,200,OK,Users 1-4,text,true,,367,155,5,5,http://localhost:8080/?token=466636606&user=1964509942&conf=3,390,0,0
1621618730401,388,HTTP Request,200,OK,Users 1-1,text,true,,367,155,5,5,http://localhost:8080/?token=466636606&user=1964509942&conf=3,388,0,0
1621618730875,467,HTTP Request,200,OK,Users 1-3,text,true,,367,155,5,5,http://localhost:8080/?token=466636606&user=1964509942&conf=3,467,0,0
1621618731371,516,HTTP Request,200,OK,Users 1-5,text,true,,367,155,5,5,http://localhost:8080/?token=466636606&user=1964509942&conf=3,516,0,0
1621618731383,505,HTTP Request,200,OK,Users 1-2,text,true,,367,155,5,5,http://localhost:8080/?token=466636606&user=1964509942&conf=3,505,0,0
1621618731898,463,HTTP Request,200,OK,Users 1-1,text,true,,367,155,5,5,http://localhost:8080/?token=466636606&user=1964509942&conf=3,463,0,0
1621618731871,490,HTTP Request,200,OK,Users 1-4,text,true,,367,155,5,5,http://localhost:8080/?token=466636606&user=1964509942&conf=3,490,0,0
1621618732375,378,HTTP Request,200,OK,Users 1-3,text,true,,367,155,5,5,http://localhost:8080/?token=466636606&user=1964509942&conf=3,378,0,0
1621618732884,399,HTTP Request,200,OK,Users 1-2,text,true,,367,155,5,5,http://localhost:8080/?token=466636606&user=1964509942&conf=3,399,0,0
1621618732876,407,HTTP Request,200,OK,Users 1-5,text,true,,367,155,5,5,http://localhost:8080/?token=466636606&user=1964509942&conf=3,407,0,0
1621618733376,417,HTTP Request,200,OK,Users 1-4,text,true,,367,155,5,5,http://localhost:8080/?token=466636606&user=1964509942&conf=3,417,0,0
1621618733398,436,HTTP Request,200,OK,Users 1-1,text,true,,367,155,5,5,http://localhost:8080/?token=466636606&user=1964509942&conf=3,436,0,0
1621618733874,399,HTTP Request,200,OK,Users 1-3,text,true,,367,155,6,6,http://localhost:8080/?token=466636606&user=1964509942&conf=3,399,0,0
1621618733868,486,HTTP Request,200,OK,Users 1-6,text,true,,367,155,6,6,http://localhost:8080/?token=466636606&user=1964509942&conf=3,486,0,0
1621618734376,511,HTTP Request,200,OK,Users 1-5,text,true,,367,155,6,6,http://localhost:8080/?token=466636606&user=1964509942&conf=3,511,0,0
1621618734382,506,HTTP Request,200,OK,Users 1-2,text,true,,367,155,6,6,http://localhost:8080/?token=466636606&user=1964509942&conf=3,506,0,0
1621618734901,430,HTTP Request,200,OK,Users 1-1,text,true,,367,155,6,6,http://localhost:8080/?token=466636606&user=1964509942&conf=3,430,0,0
1621618734876,455,HTTP Request,200,OK,Users 1-4,text,true,,367,155,6,6,http://localhost:8080/?token=466636606&user=1964509942&conf=3,455,0,0
1621618735372,494,HTTP Request,200,OK,Users 1-6,text,true,,367,155,6,6,http://localhost:8080/?token=466636606&user=1964509942&conf=3,492,0,0
1621618735372,494,HTTP Request,200,OK,Users 1-3,text,true,,367,155,6,6,http://localhost:8080/?token=466636606&user=1964509942&conf=3,492,0,0
1621618735883,491,HTTP Request,200,OK,Users 1-2,text,true,,367,155,6,6,http://localhost:8080/?token=466636606&user=1964509942&conf=3,490,0,0
1621618735882,501,HTTP Request,200,OK,Users 1-5,text,true,,367,155,6,6,http://localhost:8080/?token=466636606&user=1964509942&conf=3,501,0,0
1621618736392,481,HTTP Request,200,OK,Users 1-4,text,true,,367,155,6,6,http://localhost:8080/?token=466636606&user=1964509942&conf=3,481,0,0
1621618736401,471,HTTP Request,200,OK,Users 1-1,text,true,,367,155,6,6,http://localhost:8080/?token=466636606&user=1964509942&conf=3,471,0,0
1621618736872,505,HTTP Request,200,OK,Users 1-3,text,true,,367,155,6,6,http://localhost:8080/?token=466636606&user=1964509942&conf=3,505,0,0
